epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,179.145,1.21034,1.03802,1.67338,1.33386,0.91161,0.23529,0.37486,0.23787,0.91161,0.23529,0.31449,0.13832,1.67478,1.44737,2.31284,1.83571,0.00573376,0.00573376,0.00573376
66,181.297,1.25356,1.21392,1.74651,1.41452,0.38204,0.29412,0.28687,0.16356,0.38204,0.29412,0.28639,0.09171,1.67413,1.48351,2.76171,1.84478,0.0056671,0.0056671,0.0056671
67,183.43,1.12124,1.10737,1.60322,1.27466,0.30131,0.35294,0.33566,0.17522,0.30131,0.35294,0.31896,0.12776,1.52053,1.30199,2.41341,1.71061,0.00560044,0.00560044,0.00560044
68,185.559,1.21264,1.08215,1.64643,1.33648,0.39682,0.35294,0.33699,0.17705,0.39682,0.35294,0.29641,0.11898,1.75581,1.2654,2.1617,1.79014,0.00553378,0.00553378,0.00553378
69,187.682,1.19347,1.10225,1.62098,1.35067,0.37243,0.41176,0.28799,0.14101,0.37243,0.41176,0.26471,0.0982,1.83356,1.40035,2.46647,1.87998,0.00546712,0.00546712,0.00546712
70,189.846,1.17084,0.98755,1.6965,1.4039,0.44866,0.47059,0.39219,0.17083,0.45976,0.47059,0.34919,0.11489,1.80717,1.31564,2.20303,1.95709,0.00540046,0.00540046,0.00540046
71,191.969,1.11029,1.05801,1.57364,1.30603,0.57887,0.35294,0.34953,0.15523,0.57887,0.35294,0.32641,0.11172,1.92481,1.34411,2.09907,2.06172,0.0053338,0.0053338,0.0053338
72,194.072,1.15902,0.98707,1.62788,1.31852,0.49401,0.41176,0.29651,0.11944,0.49401,0.41176,0.29627,0.10241,1.82303,1.25773,2.2351,1.81143,0.00526714,0.00526714,0.00526714
73,196.275,1.13689,1.06599,1.5722,1.34439,0.71546,0.35294,0.43097,0.21357,0.71546,0.35294,0.39154,0.15712,1.75246,1.25462,2.05115,1.78992,0.00520048,0.00520048,0.00520048
74,198.596,1.20271,1.02976,1.57499,1.37107,0.45513,0.41176,0.30053,0.15003,0.45513,0.41176,0.26125,0.10715,1.5704,1.15251,2.38108,1.75194,0.00513382,0.00513382,0.00513382
